qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
369.0,372.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Timpani)&P2(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Timpani)&P2(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani)&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),Main Part,P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Viola)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&P8(Viola)&P8(Violoncello)
372.0,375.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Violin 2),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Violin 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&U(Violin 2),U(Bassoon 2)&U(Viola)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Viola)&U(Violoncello)&P8(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&U(Violin 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(Violin 2),,Main Part,P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),U(Bassoon 1)&U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Bassoon 2)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
375.0,378.0,,,,,,,,,P4(D Horn 2),P4(D Horn 1),,,,Main Part,,,,
378.0,381.0,Main Part,,,,,,,,,,,,,P4(Violin 2),P4(Violin 1),,,
381.0,384.0,Main Part,,P3(Oboe 2)&P8(D Horn 1)&P3(D Horn 2),P3(Oboe 1)&P3(D Horn 1)&P8(D Horn 2),,,,,P8(Oboe 1)&P3(Oboe 2)&P3(D Horn 2),P3(Oboe 1)&P8(Oboe 2)&P3(D Horn 1),,,,,,,,
384.0,387.0,Main Part,P3(Main)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,P8(Main)&P3(Flute 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&P8(Flute 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,P8(Main)&P3(Flute 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(Timpani)&P8(Violin 1)&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&U(Flute 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani)&P3(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
387.0,390.0,P8(Main),,P8(A Clarinet 2)&P8(Violin 2),U(A Clarinet 1),U(Oboe 2),P8(Oboe 1)&P8(Violin 2),P8(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(Timpani)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),Main Part,P8(Oboe 1)&P8(A Clarinet 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)
390.0,393.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&U(Violin 2),U(Bassoon 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&U(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(Violin 2),,Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
393.0,396.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Timpani)&P2(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Timpani)&P2(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani)&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),Main Part,P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&U(Viola)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Violin 2)&P8(Viola)&P8(Violoncello)
396.0,399.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P2(Main)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Violin 2),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Main)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P2(Main)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Violin 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Main)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Main)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Main)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&U(Violin 2),U(Bassoon 2)&U(Viola)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Viola)&U(Violoncello)&P8(Contrabass),Main Part,P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Main)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Main)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Violin 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Main)&P8(D Horn 2)&P8(D Trumpet 1)&U(Violin 2),,,P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Main)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),U(Bassoon 1)&U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Bassoon 2)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
399.0,405.0,,,,,,,,,Main Part,,,,,,,,,
405.0,408.0,,,,,,,,,Main Part,,,,,,,,,
408.0,411.0,,,,,,,,,,,,,,Main Part,,,,
411.0,414.0,,,,,,,,,,,,,,Main Part,,,,
414.0,426.0,,,P8(Bassoon 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,,,P8(Oboe 1)&U(Viola)&U(Violoncello)&P8(Contrabass),,,,,,,Main Part,,P8(Oboe 1)&U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(Oboe 1)&U(Bassoon 1)&U(Viola)&P8(Contrabass),P8(Oboe 1)&P8(Bassoon 1)&P8(Viola)&P8(Violoncello)
426.0,438.0,,,,,P8(A Clarinet 2)&P6(Bassoon 2)&P8(Main)&P8(D Horn 2),P8(A Clarinet 1)&P6(Bassoon 2)&U(Main)&P8(D Horn 2),,P6(A Clarinet 1)&P6(A Clarinet 2)&P6(Main)&P6(D Horn 2),Main Part,P8(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(Main),,,,,,U(Violoncello),U(Viola),
438.0,450.0,,,,,P8(A Clarinet 2),P8(A Clarinet 1),U(Violoncello),,Main Part,P8(Main),P8(D Trumpet 2),P8(D Trumpet 1),,,,,U(Bassoon 1),
450.0,456.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,Main Part,,,,,,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
456.0,462.0,P8(Oboe 1),,P8(Flute 1),,P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(A Clarinet 1)&P6(Bassoon 2)&U(D Horn 1)&P8(D Horn 2),,P6(A Clarinet 1)&P6(A Clarinet 2)&P6(D Horn 1)&P6(D Horn 2),P8(A Clarinet 1)&U(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1),,,,Main Part,,,,
