score_qstamp,qstamp,tstamp,measure,beat,instrument,duration_quarter,duration,pitch,velocity
3.125,3.125,4.4643,3,1.0,Bassoon 2,2.0,2.8571,55,0.4961
3.125,3.125,4.4643,3,1.0,Oboe 2,2.0,2.8571,64,0.4961
3.125,3.125,4.4643,3,1.0,Bassoon 1,2.0,2.8571,57,0.4961
4.125,4.125,5.8929,3,2.0,Oboe 1,1.0,1.4286,73,0.4961
5.125,5.125,7.3214,3,3.0,Bassoon 2,1.0,1.4286,54,0.4961
5.125,5.125,7.3214,3,3.0,Bassoon 1,1.0,1.4286,57,0.4961
5.125,5.125,7.3214,3,3.0,Oboe 2,1.0,1.4286,71,0.4961
5.125,5.125,7.3214,3,3.0,Oboe 1,1.0,1.4286,75,0.4961
6.125,6.125,8.75,4,1.0,Bassoon 2,1.5,2.1429,55,0.4961
6.125,6.125,8.75,4,1.0,Oboe 1,1.5,2.1429,76,0.4961
6.125,6.125,8.75,4,1.0,Oboe 2,1.5,2.1429,71,0.4961
6.125,6.125,8.75,4,1.0,Bassoon 1,1.5,2.1429,59,0.4961
7.625,7.625,10.8929,4,2.5,Oboe 1,0.5,0.7143,78,0.4961
7.625,7.625,10.8929,4,2.5,Bassoon 2,0.5,0.7143,57,0.4961
7.625,7.625,10.8929,4,2.5,Oboe 2,0.5,0.7143,71,0.4961
7.625,7.625,10.8929,4,2.5,Bassoon 1,0.5,0.7143,63,0.4961
8.125,8.125,11.6071,4,3.0,Bassoon 1,0.5,0.7143,64,0.4961
8.125,8.125,11.6071,4,3.0,Oboe 2,0.5,0.7143,71,0.4961
8.125,8.125,11.6071,4,3.0,Oboe 1,0.5,0.7143,79,0.4961
8.125,8.125,11.6071,4,3.0,Bassoon 2,0.5,0.7143,55,0.4961
8.625,8.625,12.3214,4,3.5,Oboe 2,0.5,0.7143,71,0.4961
8.625,8.625,12.3214,4,3.5,Bassoon 1,0.5,0.7143,67,0.4961
8.625,8.625,12.3214,4,3.5,Oboe 1,0.5,0.7143,83,0.4961
8.625,8.625,12.3214,4,3.5,Bassoon 2,0.5,0.7143,52,0.4961
9.125,9.125,13.0357,5,1.0,Oboe 1,1.0,1.4286,74,0.4961
9.125,9.125,13.0357,5,1.0,Oboe 2,1.0,1.4286,69,0.4961
9.125,9.125,13.0357,5,1.0,Bassoon 2,1.0,1.4286,57,0.4961
9.125,9.125,13.0357,5,1.0,Bassoon 1,1.0,1.4286,66,0.4961
10.125,10.125,14.4643,5,2.0,Bassoon 2,0.5,0.7143,45,0.4961
10.125,10.125,14.4643,5,2.0,Oboe 2,0.5,0.7143,69,0.4961
10.125,10.125,14.4643,5,2.0,Oboe 1,0.5,0.7143,73,0.4961
10.125,10.125,14.4643,5,2.0,Bassoon 1,0.5,0.7143,64,0.4961
10.625,10.625,15.1786,5,2.5,Flute 1,0.375,0.5357,88,0.5461
10.625,10.625,15.1786,5,2.5,Bassoon 2,0.375,0.5357,61,0.5461
10.625,10.625,15.1786,5,2.5,A Clarinet 1,0.375,0.5357,76,0.5461
10.625,10.625,15.1786,5,2.5,Flute 2,0.375,0.5357,85,0.5461
10.625,10.625,15.1786,5,2.5,A Clarinet 2,0.375,0.5357,73,0.5461
10.625,10.625,15.1786,5,2.5,Bassoon 1,0.375,0.5357,64,0.5461
11.0,11.0,15.7143,5,2.875,Flute 2,0.125,0.1786,83,0.5461
11.0,11.0,15.7143,5,2.875,A Clarinet 2,0.125,0.1786,71,0.5461
11.0,11.0,15.7143,5,2.875,Flute 1,0.125,0.1786,86,0.5461
11.0,11.0,15.7143,5,2.875,Bassoon 2,0.125,0.1786,59,0.5461
11.0,11.0,15.7143,5,2.875,A Clarinet 1,0.125,0.1786,74,0.5461
11.0,11.0,15.7143,5,2.875,Bassoon 1,0.125,0.1786,62,0.5461
11.125,11.125,15.8929,5,3.0,Bassoon 1,0.375,0.5357,61,0.5461
11.125,11.125,15.8929,5,3.0,A Clarinet 2,0.375,0.5357,69,0.5461
11.125,11.125,15.8929,5,3.0,Flute 2,0.375,0.5357,81,0.5461
11.125,11.125,15.8929,5,3.0,A Clarinet 1,0.375,0.5357,73,0.5461
11.125,11.125,15.8929,5,3.0,Bassoon 2,0.375,0.5357,57,0.5461
11.125,11.125,15.8929,5,3.0,Flute 1,0.375,0.5357,85,0.5461
11.5,11.5,16.4286,5,3.375,Bassoon 2,0.125,0.1786,55,0.5461
11.5,11.5,16.4286,5,3.375,A Clarinet 1,0.125,0.1786,71,0.5461
11.5,11.5,16.4286,5,3.375,Flute 2,0.125,0.1786,79,0.5461
11.5,11.5,16.4286,5,3.375,Bassoon 1,0.125,0.1786,59,0.5461
11.5,11.5,16.4286,5,3.375,Flute 1,0.125,0.1786,83,0.5461
11.5,11.5,16.4286,5,3.375,A Clarinet 2,0.125,0.1786,67,0.5461
11.625,11.625,16.6071,5,3.5,A Clarinet 1,0.375,0.5357,69,0.5461
11.625,11.625,16.6071,5,3.5,Flute 2,0.375,0.5357,78,0.5461
11.625,11.625,16.6071,5,3.5,Bassoon 1,0.375,0.5357,57,0.5461
11.625,11.625,16.6071,5,3.5,Flute 1,0.375,0.5357,81,0.5461
11.625,11.625,16.6071,5,3.5,A Clarinet 2,0.375,0.5357,66,0.5461
11.625,11.625,16.6071,5,3.5,Bassoon 2,0.375,0.5357,54,0.5461
12.0,12.0,17.1429,5,3.875,D Horn 2,0.125,0.1786,50,1.0
12.0,12.0,17.1429,5,3.875,Violin 1,0.125,0.1786,74,0.7087
12.0,12.0,17.1429,5,3.875,D Trumpet 2,0.125,0.1786,62,1.0
12.0,12.0,17.1429,5,3.875,Flute 2,0.125,0.1786,76,0.5461
12.0,12.0,17.1429,5,3.875,D Horn 1,0.125,0.1786,62,1.0
12.0,12.0,17.1429,5,3.875,Timpani,0.125,0.1786,50,1.0
12.0,12.0,17.1429,5,3.875,Violoncello,0.125,0.1786,50,1.0
12.0,12.0,17.1429,5,3.875,Oboe 1,0.125,0.1786,74,1.0
12.0,12.0,17.1429,5,3.875,D Trumpet 1,0.125,0.1786,74,1.0
12.0,12.0,17.1429,5,3.875,Contrabass,0.125,0.1786,38,1.0
12.0,12.0,17.1429,5,3.875,Oboe 2,0.125,0.1786,62,1.0
12.0,12.0,17.1429,5,3.875,Flute 1,0.125,0.1786,79,0.5461
12.0,12.0,17.1429,5,3.875,Violin 1,0.125,0.1786,62,0.7087
12.0,12.0,17.1429,5,3.875,Bassoon 2,0.125,0.1786,52,0.5461
12.0,12.0,17.1429,5,3.875,Violin 2,0.125,0.1786,74,0.7087
12.0,12.0,17.1429,5,3.875,Violin 2,0.125,0.1786,62,0.7087
12.0,12.0,17.1429,5,3.875,A Clarinet 1,0.125,0.1786,67,0.5461
12.0,12.0,17.1429,5,3.875,Bassoon 1,0.125,0.1786,55,0.5461
12.0,12.0,17.1429,5,3.875,Viola,0.125,0.1786,50,0.7087
12.0,12.0,17.1429,5,3.875,Viola,0.125,0.1786,62,0.7087
12.0,12.0,17.1429,5,3.875,A Clarinet 2,0.125,0.1786,64,0.5461
12.125,12.125,17.3214,6,1.0,Violin 1,1.5,2.1429,74,0.7087
12.125,12.125,17.3214,6,1.0,D Horn 2,1.5,2.1429,50,1.0
12.125,12.125,17.3214,6,1.0,Violin 2,1.5,2.1429,62,0.7087
12.125,12.125,17.3214,6,1.0,Flute 1,1.5,2.1429,78,1.0
12.125,12.125,17.3214,6,1.0,D Trumpet 2,1.5,2.1429,62,1.0
12.125,12.125,17.3214,6,1.0,Violin 2,1.5,2.1429,74,0.7087
12.125,12.125,17.3214,6,1.0,Violin 1,1.5,2.1429,62,0.7087
12.125,12.125,17.3214,6,1.0,Oboe 2,1.5,2.1429,62,1.0
12.125,12.125,17.3214,6,1.0,Contrabass,1.5,2.1429,38,1.0
12.125,12.125,17.3214,6,1.0,Oboe 1,1.5,2.1429,74,1.0
12.125,12.125,17.3214,6,1.0,Violoncello,1.5,2.1429,50,1.0
12.125,12.125,17.3214,6,1.0,Timpani,1.5,2.1429,50,1.0
12.125,12.125,17.3214,6,1.0,D Horn 1,1.5,2.1429,62,1.0
12.125,12.125,17.3214,6,1.0,Flute 2,1.5,2.1429,74,1.0
12.125,12.125,17.3214,6,1.0,Viola,1.5,2.1429,62,0.7087
12.125,12.125,17.3214,6,1.0,A Clarinet 1,1.5,2.1429,66,1.0
12.125,12.125,17.3214,6,1.0,Viola,1.5,2.1429,50,0.7087
12.125,12.125,17.3214,6,1.0,Bassoon 1,1.5,2.1429,54,1.0
12.125,12.125,17.3214,6,1.0,Bassoon 2,1.5,2.1429,50,1.0
12.125,12.125,17.3214,6,1.0,A Clarinet 2,1.5,2.1429,62,1.0
12.125,12.125,17.3214,6,1.0,D Trumpet 1,1.5,2.1429,74,1.0
13.625,13.625,19.4643,6,2.5,Violoncello,0.5,0.7143,62,0.4961
13.625,13.625,19.4643,6,2.5,Violin 2,0.5,0.7143,69,0.4961
13.625,13.625,19.4643,6,2.5,Contrabass,0.5,0.7143,50,0.4961
13.625,13.625,19.4643,6,2.5,Violin 1,0.5,0.7143,78,0.4961
13.625,13.625,19.4643,6,2.5,Viola,0.5,0.7143,62,0.4961
14.125,14.125,20.1786,6,3.0,Violin 2,0.5,0.7143,67,0.4961
14.125,14.125,20.1786,6,3.0,Contrabass,0.5,0.7143,46,0.4961
14.125,14.125,20.1786,6,3.0,Violin 1,0.5,0.7143,76,0.4961
14.125,14.125,20.1786,6,3.0,Violoncello,0.5,0.7143,58,0.4961
14.125,14.125,20.1786,6,3.0,Viola,0.5,0.7143,61,0.4961
14.625,14.625,20.8929,6,3.5,Viola,0.5,0.7143,62,0.4961
14.625,14.625,20.8929,6,3.5,Contrabass,0.5,0.7143,47,0.4961
14.625,14.625,20.8929,6,3.5,Violoncello,0.5,0.7143,59,0.4961
14.625,14.625,20.8929,6,3.5,Violin 1,0.5,0.7143,74,0.4961
14.625,14.625,20.8929,6,3.5,Violin 2,0.5,0.7143,66,0.4961
15.125,15.125,21.6071,7,1.0,Violoncello,1.0,1.4286,56,0.4961
15.125,15.125,21.6071,7,1.0,Violin 1,1.0,1.4286,74,0.4961
15.125,15.125,21.6071,7,1.0,Violin 2,1.0,1.4286,65,0.4961
15.125,15.125,21.6071,7,1.0,Viola,1.0,1.4286,59,0.4961
15.125,15.125,21.6071,7,1.0,Contrabass,1.0,1.4286,44,0.4961
16.125,16.125,23.0357,7,2.0,Violin 2,1.0,1.4286,64,0.4961
16.125,16.125,23.0357,7,2.0,Violoncello,1.0,1.4286,55,0.4961
16.125,16.125,23.0357,7,2.0,Viola,1.0,1.4286,58,0.4961
16.125,16.125,23.0357,7,2.0,Violin 1,1.0,1.4286,73,0.4961
16.125,16.125,23.0357,7,2.0,Contrabass,1.0,1.4286,43,0.4961
17.125,17.125,24.4643,7,3.0,Bassoon 1,1.0,1.4286,60,1.0
17.125,17.125,24.4643,7,3.0,D Horn 2,1.0,1.4286,57,1.0
17.125,17.125,24.4643,7,3.0,Violoncello,1.0,1.4286,54,1.0
17.125,17.125,24.4643,7,3.0,Contrabass,1.0,1.4286,42,1.0
17.125,17.125,24.4643,7,3.0,Oboe 1,1.0,1.4286,75,1.0
17.125,17.125,24.4643,7,3.0,Oboe 2,1.0,1.4286,72,1.0
17.125,17.125,24.4643,7,3.0,D Horn 1,1.0,1.4286,69,1.0
17.125,17.125,24.4643,7,3.0,Flute 1,1.0,1.4286,84,1.0
17.125,17.125,24.4643,7,3.0,Flute 2,1.0,1.4286,75,1.0
17.125,17.125,24.4643,7,3.0,A Clarinet 1,1.0,1.4286,69,1.0
17.125,17.125,24.4643,7,3.0,A Clarinet 2,1.0,1.4286,69,1.0
17.125,17.125,24.4643,7,3.0,Viola,1.0,1.4286,54,0.7087
17.125,17.125,24.4643,7,3.0,Bassoon 2,1.0,1.4286,54,1.0
17.125,17.125,24.4643,7,3.0,Viola,1.0,1.4286,57,0.7087
17.125,17.125,24.4643,7,3.0,Violin 2,1.0,1.4286,63,1.0
17.125,17.125,24.4643,7,3.0,Violin 1,1.0,1.4286,75,1.0
18.125,18.125,25.8929,8,1.0,Viola,0.5,0.7143,55,0.7087
18.125,18.125,25.8929,8,1.0,Violin 2,0.875,1.25,64,0.9921
18.125,18.125,25.8929,8,1.0,Contrabass,0.5,0.7143,43,1.0
18.125,18.125,25.8929,8,1.0,Flute 1,0.5,0.7143,83,1.0
18.125,18.125,25.8929,8,1.0,D Horn 2,0.5,0.7143,64,1.0
18.125,18.125,25.8929,8,1.0,Oboe 2,0.5,0.7143,71,1.0
18.125,18.125,25.8929,8,1.0,A Clarinet 2,0.5,0.7143,67,1.0
18.125,18.125,25.8929,8,1.0,Bassoon 2,0.5,0.7143,55,1.0
18.125,18.125,25.8929,8,1.0,Viola,0.5,0.7143,59,0.7087
18.125,18.125,25.8929,8,1.0,Violin 1,0.875,1.25,76,0.9921
18.125,18.125,25.8929,8,1.0,Bassoon 1,0.5,0.7143,59,1.0
18.125,18.125,25.8929,8,1.0,Flute 2,0.5,0.7143,76,1.0
18.125,18.125,25.8929,8,1.0,D Horn 1,0.5,0.7143,64,1.0
18.125,18.125,25.8929,8,1.0,Violoncello,0.5,0.7143,55,1.0
18.125,18.125,25.8929,8,1.0,A Clarinet 1,0.5,0.7143,67,1.0
18.125,18.125,25.8929,8,1.0,Oboe 1,0.5,0.7143,76,1.0
19.0,19.0,27.1429,8,1.875,Violin 1,0.125,0.1786,78,0.9921
19.0,19.0,27.1429,8,1.875,Violin 2,0.125,0.1786,66,0.9921
19.125,19.125,27.3214,8,2.0,Violin 1,0.375,0.5357,79,0.9921
19.125,19.125,27.3214,8,2.0,Violin 2,0.375,0.5357,67,0.9921
19.5,19.5,27.8571,8,2.375,Violin 1,0.125,0.1786,81,0.9921
19.5,19.5,27.8571,8,2.375,Violin 2,0.125,0.1786,69,0.9921
19.625,19.625,28.0357,8,2.5,Violin 1,0.5,0.7143,83,0.9921
19.625,19.625,28.0357,8,2.5,Violin 2,0.5,0.7143,71,0.9921
20.125,20.125,28.75,8,3.0,Violin 1,0.1667,0.2381,83,0.9921
20.125,20.125,28.75,8,3.0,Violoncello,1.0,1.4286,45,1.0
20.125,20.125,28.75,8,3.0,Viola,1.0,1.4286,52,0.7087
20.125,20.125,28.75,8,3.0,Viola,1.0,1.4286,55,0.7087
20.125,20.125,28.75,8,3.0,Contrabass,1.0,1.4286,33,1.0
20.125,20.125,28.75,8,3.0,Violin 2,0.1667,0.2381,71,1.0
20.2917,20.2917,28.9881,8,3.1667,Violin 2,0.1667,0.2381,67,1.0
20.2917,20.2917,28.9881,8,3.1667,Violin 1,0.1667,0.2381,79,0.9921
20.4583,20.4583,29.2261,8,3.3333,Violin 1,0.1667,0.2381,76,1.0
20.4583,20.4583,29.2261,8,3.3333,Violin 2,0.1667,0.2381,64,1.0
20.625,20.625,29.4643,8,3.5,Violin 1,0.1667,0.2381,79,0.9921
20.625,20.625,29.4643,8,3.5,Violin 2,0.1667,0.2381,67,1.0
20.7917,20.7917,29.7024,8,3.6667,Violin 1,0.1667,0.2381,76,0.9921
20.7917,20.7917,29.7024,8,3.6667,Violin 2,0.1667,0.2381,64,1.0
20.9583,20.9583,29.9404,8,3.8333,Violin 2,0.1667,0.2381,61,1.0
20.9583,20.9583,29.9404,8,3.8333,Violin 1,0.1667,0.2381,73,1.0
21.125,21.125,30.1786,9,1.0,Contrabass,1.0,1.4286,38,1.0
21.125,21.125,30.1786,9,1.0,Violin 2,1.0,1.4286,62,1.0
21.125,21.125,30.1786,9,1.0,Viola,1.0,1.4286,54,1.0
21.125,21.125,30.1786,9,1.0,Violin 1,1.0,1.4286,74,1.0
21.125,21.125,30.1786,9,1.0,Violoncello,1.0,1.4286,50,1.0
21.625,21.625,30.8929,9,1.5,D Horn 1,0.5,0.7143,66,0.5461
21.625,21.625,30.8929,9,1.5,D Horn 2,0.5,0.7143,54,0.5461
22.125,22.125,31.6071,9,2.0,D Horn 2,0.5,0.7143,54,0.5461
22.125,22.125,31.6071,9,2.0,D Horn 1,0.5,0.7143,66,0.5461
22.625,22.625,32.3214,9,2.5,Contrabass,0.5,0.7143,38,0.4961
22.625,22.625,32.3214,9,2.5,Violin 2,0.5,0.7143,59,0.4961
22.625,22.625,32.3214,9,2.5,Viola,0.5,0.7143,54,0.4961
22.625,22.625,32.3214,9,2.5,Violin 1,0.5,0.7143,59,0.4961
22.625,22.625,32.3214,9,2.5,D Horn 2,0.5,0.7143,54,0.5461
22.625,22.625,32.3214,9,2.5,D Horn 1,0.5,0.7143,66,0.5461
22.625,22.625,32.3214,9,2.5,Violoncello,0.5,0.7143,50,0.4961
23.125,23.125,33.0357,9,3.0,Violin 1,0.5,0.7143,61,0.4961
23.125,23.125,33.0357,9,3.0,D Horn 1,0.5,0.7143,66,0.5461
23.125,23.125,33.0357,9,3.0,Violoncello,0.5,0.7143,49,0.4961
23.125,23.125,33.0357,9,3.0,Violin 2,0.5,0.7143,61,0.4961
23.125,23.125,33.0357,9,3.0,D Horn 2,0.5,0.7143,54,0.5461
23.125,23.125,33.0357,9,3.0,Contrabass,0.5,0.7143,37,0.4961
23.125,23.125,33.0357,9,3.0,Viola,0.5,0.7143,58,0.4961
23.625,23.625,33.75,9,3.5,Contrabass,0.5,0.7143,35,0.4961
23.625,23.625,33.75,9,3.5,Violin 1,0.5,0.7143,62,0.4961
23.625,23.625,33.75,9,3.5,Viola,0.5,0.7143,59,0.4961
23.625,23.625,33.75,9,3.5,Violin 2,0.5,0.7143,62,0.4961
23.625,23.625,33.75,9,3.5,D Horn 2,0.5,0.7143,54,0.5461
23.625,23.625,33.75,9,3.5,D Horn 1,0.5,0.7143,66,0.5461
23.625,23.625,33.75,9,3.5,Violoncello,0.5,0.7143,47,0.4961
24.125,24.125,34.4643,10,1.0,D Horn 1,1.0,1.4286,66,1.0
24.125,24.125,34.4643,10,1.0,Violin 1,1.0,1.4286,61,0.7087
24.125,24.125,34.4643,10,1.0,D Horn 2,1.0,1.4286,54,1.0
24.125,24.125,34.4643,10,1.0,Violin 1,1.0,1.4286,64,0.7087
24.125,24.125,34.4643,10,1.0,Contrabass,1.0,1.4286,34,1.0
24.125,24.125,34.4643,10,1.0,Violin 2,1.0,1.4286,64,0.7087
24.125,24.125,34.4643,10,1.0,Viola,1.0,1.4286,58,1.0
24.125,24.125,34.4643,10,1.0,Violin 2,1.0,1.4286,61,0.7087
24.125,24.125,34.4643,10,1.0,Violoncello,1.0,1.4286,46,1.0
25.0,25.0,35.7143,10,1.875,Bassoon 1,0.125,0.1786,61,0.4961
25.0,25.0,35.7143,10,1.875,Bassoon 2,0.125,0.1786,58,0.4961
25.0,25.0,35.7143,10,1.875,Oboe 2,0.125,0.1786,76,0.4961
25.0,25.0,35.7143,10,1.875,Oboe 1,0.125,0.1786,78,0.4961
25.125,25.125,35.8929,10,2.0,Oboe 1,1.0,1.4286,78,0.4961
25.125,25.125,35.8929,10,2.0,Oboe 2,1.0,1.4286,76,0.4961
25.125,25.125,35.8929,10,2.0,Bassoon 2,1.0,1.4286,58,0.4961
25.125,25.125,35.8929,10,2.0,Bassoon 1,1.0,1.4286,61,0.4961
26.125,26.125,37.3214,10,3.0,Bassoon 1,0.5,0.7143,62,0.5461
26.125,26.125,37.3214,10,3.0,Oboe 2,0.5,0.7143,74,0.5461
26.125,26.125,37.3214,10,3.0,Oboe 1,0.5,0.7143,78,0.5461
26.125,26.125,37.3214,10,3.0,Bassoon 2,0.5,0.7143,59,0.5461
26.625,26.625,38.0357,10,3.5,Violin 1,0.5,0.7143,62,0.4961
26.625,26.625,38.0357,10,3.5,Flute 1,0.5,0.7143,78,0.4961
26.625,26.625,38.0357,10,3.5,Flute 2,0.5,0.7143,78,0.4961
26.625,26.625,38.0357,10,3.5,Violin 2,0.5,0.7143,62,0.4961
27.125,27.125,38.75,11,1.0,Violin 2,1.0,1.4286,65,0.7087
27.125,27.125,38.75,11,1.0,D Horn 2,1.0,1.4286,67,1.0
27.125,27.125,38.75,11,1.0,Violin 1,1.0,1.4286,67,0.7087
27.125,27.125,38.75,11,1.0,Violin 1,1.0,1.4286,55,0.7087
27.125,27.125,38.75,11,1.0,Flute 2,1.0,1.4286,79,1.0
27.125,27.125,38.75,11,1.0,Contrabass,1.0,1.4286,35,1.0
27.125,27.125,38.75,11,1.0,Violoncello,1.0,1.4286,47,1.0
27.125,27.125,38.75,11,1.0,Flute 1,1.0,1.4286,79,1.0
27.125,27.125,38.75,11,1.0,Viola,1.0,1.4286,62,0.7087
27.125,27.125,38.75,11,1.0,D Horn 1,1.0,1.4286,67,1.0
27.125,27.125,38.75,11,1.0,Violin 2,1.0,1.4286,55,0.7087
27.125,27.125,38.75,11,1.0,Viola,1.0,1.4286,59,0.7087
28.0,28.0,40.0,11,1.875,Bassoon 1,0.125,0.1786,62,0.4961
28.0,28.0,40.0,11,1.875,Oboe 1,0.125,0.1786,79,0.4961
28.0,28.0,40.0,11,1.875,Oboe 2,0.125,0.1786,77,0.4961
28.0,28.0,40.0,11,1.875,Bassoon 2,0.125,0.1786,59,0.4961
28.125,28.125,40.1786,11,2.0,Bassoon 1,1.0,1.4286,62,0.4961
28.125,28.125,40.1786,11,2.0,Oboe 1,1.0,1.4286,79,0.4961
28.125,28.125,40.1786,11,2.0,Bassoon 2,1.0,1.4286,59,0.4961
28.125,28.125,40.1786,11,2.0,Oboe 2,1.0,1.4286,77,0.4961
29.125,29.125,41.6071,11,3.0,Bassoon 1,0.5,0.7143,64,0.5461
29.125,29.125,41.6071,11,3.0,Oboe 1,0.5,0.7143,79,0.5461
29.125,29.125,41.6071,11,3.0,Bassoon 2,0.5,0.7143,60,0.5461
29.125,29.125,41.6071,11,3.0,Oboe 2,0.5,0.7143,76,0.5461
29.625,29.625,42.3214,11,3.5,Violin 2,0.5,0.7143,64,0.4961
29.625,29.625,42.3214,11,3.5,Flute 1,0.5,0.7143,80,0.4961
29.625,29.625,42.3214,11,3.5,Flute 2,0.5,0.7143,80,0.4961
29.625,29.625,42.3214,11,3.5,Violin 1,0.5,0.7143,68,0.4961
30.125,30.125,43.0357,12,1.0,Flute 1,1.0,1.4286,81,0.9921
30.125,30.125,43.0357,12,1.0,D Horn 1,1.0,1.4286,67,1.0
30.125,30.125,43.0357,12,1.0,Flute 2,1.0,1.4286,81,1.0
30.125,30.125,43.0357,12,1.0,Violin 1,1.0,1.4286,69,0.7087
30.125,30.125,43.0357,12,1.0,Viola,1.0,1.4286,64,0.7087
30.125,30.125,43.0357,12,1.0,Violin 1,1.0,1.4286,57,0.7087
30.125,30.125,43.0357,12,1.0,Contrabass,1.0,1.4286,37,1.0
30.125,30.125,43.0357,12,1.0,Violoncello,1.0,1.4286,49,1.0
30.125,30.125,43.0357,12,1.0,Viola,1.0,1.4286,61,0.7087
30.125,30.125,43.0357,12,1.0,Violin 2,1.0,1.4286,67,0.7087
30.125,30.125,43.0357,12,1.0,Violin 2,1.0,1.4286,57,0.7087
30.125,30.125,43.0357,12,1.0,D Horn 2,1.0,1.4286,67,1.0
31.0,31.0,44.2857,12,1.875,Oboe 1,0.125,0.1786,81,0.4961
31.0,31.0,44.2857,12,1.875,Bassoon 2,0.125,0.1786,61,0.4961
31.0,31.0,44.2857,12,1.875,Oboe 2,0.125,0.1786,79,0.4961
31.0,31.0,44.2857,12,1.875,Bassoon 1,0.125,0.1786,64,0.4961
31.125,31.125,44.4643,12,2.0,Bassoon 2,1.0,1.4286,61,0.4961
31.125,31.125,44.4643,12,2.0,Bassoon 1,1.0,1.4286,64,0.4961
31.125,31.125,44.4643,12,2.0,Oboe 2,1.0,1.4286,79,0.4961
