qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,G Horn 1,G Horn 2,C Horn 3,C Horn 4,Violin 1,Violin 2,Viola,Violoncello,Contrabass
122.5,66.1027,46,1.5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#3,G#2,r
123.0,66.2631,46,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C3,r
123.5,66.4235,46,2.5,A5,r,r,r,A4,A4,A3,r,r,r,r,r,r,r,r,r,r
124.0,66.584,47,1.0,C6,r,r,r,C5,C5,C4,r,r,r,r,r,r,r,r,r,r
124.5,66.7444,47,1.5,A5,r,r,r,A4,A4,A3,r,r,r,r,r,r,r,r,r,r
125.0,66.9048,47,2.0,C#6,r,r,r,C#5,C#5,C#4,r,r,r,r,r,r,r,r,r,r
125.5,67.0652,47,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-3,B-2,r
126.0,67.2257,48,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,C#4,C#3,r
126.5,67.3861,48,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-3,B-2,r
127.0,67.5465,48,2.0,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,D3,r
127.5,67.707,48,2.5,B5,r,B4,B4,B4,B4,B3,r,r,r,r,r,r,r,r,r,r
128.0,67.8674,49,1.0,D6,r,D5,D5,D5,D5,D4,r,r,r,r,r,r,r,r,r,r
128.5,68.0278,49,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B3,B3,r
129.0,68.1882,49,2.0,r,r,r,r,r,r,r,r,r,r,G4,G3,E-5,E-5,E-4,E-4,r
129.5,68.3487,49,2.5,B5,r,B5,B4,B5,B4,B3,r,r,r,G4,G3,r,r,r,r,r
130.0,68.5091,50,1.0,D6,r,D6,D5,D6,D5,D4,r,r,r,r,r,r,r,r,r,r
130.5,68.6695,50,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,B3,B3,r
131.0,68.8299,50,2.0,r,r,r,r,r,r,r,r,r,r,G4,G3,E-6,E-5,E-4,E-4,r
131.5,68.9904,50,2.5,r,r,r,r,r,r,r,r,r,r,G4,G3,B5,B4,B3,G2,r
132.0,69.1508,51,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
132.75,69.3914,51,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
133.0,69.4717,51,2.0,D6,A5,D5,A4,C5,A4,F3,C3,r,r,C4,C3,D6,D5,A4,F2,C2
134.0,69.7925,52,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
134.75,70.0332,52,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
135.0,70.1134,52,2.0,C6,C6,F5,C5,C5,F4,A3,C3,r,r,C4,C3,C6,C5,F4,A2,C2
136.0,70.4342,53,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
136.75,70.6749,53,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
137.0,70.7551,53,2.0,D6,A5,D5,A4,C5,A4,F3,C3,r,r,C4,C3,D6,D5,A4,F2,C2
138.0,71.0759,54,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
138.75,71.3166,54,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
139.0,71.3968,54,2.0,C6,C6,F5,C5,C5,F4,A3,C3,r,r,C4,C3,C6,C5,F4,A2,C2
140.0,71.7176,55,1.0,G5,E5,G4,E4,G4,E4,B-3,C3,r,r,r,r,G5,G4,E4,B-2,C2
140.5,71.8781,55,1.5,A5,F5,A4,F4,A4,F4,A3,C3,r,r,r,r,A5,A4,F4,A2,C2
141.0,72.0385,55,2.0,B-5,G5,B-4,G4,B-4,G4,G3,C3,r,r,r,r,B-5,B-4,G4,G2,C2
141.5,72.1989,55,2.5,B5,G#5,B4,G#4,B4,G#4,F3,C3,r,r,r,r,B5,B4,G#4,F2,C2
142.0,72.3594,56,1.0,C6,G5,C5,G4,C5,G4,E3,C3,r,r,r,r,C6,C5,G4,E2,C2
142.5,72.5198,56,1.5,F6,B5,F5,B4,F5,B4,D3,C3,r,r,r,r,F6,F5,B4,D2,C2
143.0,72.6802,56,2.0,E6,C6,E5,C5,E5,C5,C3,C3,r,r,r,r,E6,E5,C5,C2,C2
143.5,72.8406,56,2.5,D6,B5,D5,B4,D5,B4,G3,C3,r,r,r,r,D6,D5,B4,G2,C2
144.0,73.0011,57,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
144.75,73.2417,57,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
145.0,73.3219,57,2.0,D6,A5,D5,A4,C5,A4,F3,C3,r,r,C4,C3,D6,D5,A4,F2,C2
146.0,73.6428,58,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
146.75,73.8834,58,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
147.0,73.9636,58,2.0,C6,C6,F5,C5,C5,F4,A3,C3,r,r,C4,C3,C6,C5,F4,A2,C2
148.0,74.2845,59,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
148.75,74.5251,59,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
149.0,74.6053,59,2.0,D6,A5,D5,A4,C5,A4,F3,C3,r,r,C4,C3,D6,D5,A4,F2,C2
150.0,74.9262,60,1.0,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
150.75,75.1668,60,1.75,E6,C6,E5,C5,C5,C5,G3,C3,r,r,C4,C3,E6,E5,C5,G2,C2
151.0,75.2471,60,2.0,C6,C6,F5,C5,C5,F4,A3,C3,r,r,C4,C3,C6,C5,F4,A2,C2
152.0,75.5679,61,1.0,A5,E5,A4,E4,A4,E4,C4,C4,r,r,r,r,A5,A4,E4,C4,C3
152.5,75.7283,61,1.5,B5,E5,B4,E4,B4,E4,B3,B3,r,r,r,r,B5,B4,E4,B3,B2
153.0,75.8888,61,2.0,C6,E5,C5,E4,C5,E4,A3,A3,r,r,r,r,C6,C5,E4,A3,A2
153.5,76.0492,61,2.5,D6,F#5,D5,F#4,D5,F#4,C3,C3,r,r,r,r,D6,D5,F#4,C3,C2
154.0,76.2096,62,1.0,E6,G5,E5,G4,E5,G4,B2,B2,r,r,r,r,E6,E5,G4,B2,B1
154.5,76.3701,62,1.5,F#6,C6,F#5,C5,F#5,C5,A2,A2,r,r,r,r,F#6,F#5,C5,A2,A1
155.0,76.5305,62,2.0,G6,B5,G5,B4,G5,B4,G2,G2,r,r,r,r,G6,G5,B4,G2,G1
155.5,76.6909,62,2.5,G5,G5,G4,G4,G4,G4,G3,G3,r,r,r,r,G5,G4,G3,G3,G2
156.0,76.8513,63,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B-4,C#4,E3,G2,r
156.5,77.0118,63,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,E3,A2,r
157.0,77.1722,63,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,C#4,E3,B-2,r
157.5,77.3326,63,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F4,C#4,E3,A2,r
158.0,77.493,64,1.0,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,C#3,G2,r
158.5,77.6535,64,1.5,r,r,r,r,r,r,r,r,r,r,r,r,D4,B-3,E3,A2,r
159.0,77.8139,64,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G3,E3,B-2,r
159.5,77.9743,64,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,C#3,A2,r
160.0,78.1348,65,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B-4,C#4,E3,G2,r
160.5,78.2952,65,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,E3,A2,r
161.0,78.4556,65,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,C#4,E3,B-2,r
161.5,78.616,65,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F4,C#4,E3,A2,r
162.0,78.7765,66,1.0,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,C#3,G2,r
162.5,78.9369,66,1.5,r,r,r,r,r,r,r,r,r,r,r,r,D4,B-3,E3,A2,r
163.0,79.0973,66,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G3,E3,B-2,r
163.5,79.2578,66,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,C#3,A2,r
164.0,79.4182,67,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,F#3,A2,r
164.5,79.5786,67,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#3,B2,r
165.0,79.739,67,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,F#3,C3,r
165.5,79.8995,67,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,F#3,B2,r
166.0,80.0599,68,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,E-3,A2,r
166.5,80.2203,68,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,F#3,B2,r
167.0,80.3807,68,2.0,r,r,r,r,r,r,r,r,r,r,r,r,E-4,A3,F#3,C3,r
167.5,80.5412,68,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,E-3,B2,r
168.0,80.7016,69,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,F#3,A2,r
168.5,80.862,69,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#3,B2,r
169.0,81.0225,69,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,F#3,C3,r
169.5,81.1829,69,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,F#3,B2,r
170.0,81.3433,70,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,E-3,A2,r
170.5,81.5037,70,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,F#3,B2,r
171.0,81.6642,70,2.0,r,r,r,r,r,r,r,r,r,r,r,r,E-4,A3,F#3,C3,r
171.5,81.8246,70,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,E-3,B2,r
172.0,81.985,71,1.0,r,r,r,r,r,r,r,r,r,r,C4,C4,E5,C5,C3,G2,r
172.5,82.1455,71,1.5,r,r,r,r,r,r,r,r,r,r,C4,C4,E5,B4,C3,G2,r
172.75,82.2257,71,1.75,r,r,r,r,r,r,r,r,r,r,C4,C4,E5,B4,C3,G2,r
173.0,82.3059,71,2.0,r,r,r,r,r,r,r,r,r,r,C4,C4,D5,A4,C3,F2,C2
173.5,82.4663,71,2.5,r,r,r,r,r,r,r,r,r,r,C4,C4,D5,G#4,C3,F2,C2
174.0,82.6267,72,1.0,r,r,r,r,r,r,r,r,r,r,C4,C4,E5,G4,C3,G2,r
174.5,82.7872,72,1.5,r,r,r,r,r,r,r,r,r,r,C4,C4,E5,E4,C3,G2,r
174.75,82.8674,72,1.75,r,r,r,r,r,r,r,r,r,r,C4,C4,E5,E4,C3,G2,r
175.0,82.9476,72,2.0,r,r,r,r,r,r,r,r,r,r,C4,C4,C5,F4,C3,A2,C2
175.5,83.108,72,2.5,r,r,r,r,r,r,r,r,r,r,C4,C4,C5,F#4,C3,A2,C2
176.0,83.2684,73,1.0,r,r,r,r,r,r,r,r,r,r,C4,C3,E4,G4,C4,G2,r
176.5,83.4289,73,1.5,r,r,r,r,r,r,r,r,r,r,C4,C3,E4,r,B3,G2,r
176.75,83.5091,73,1.75,r,r,r,r,r,r,r,r,r,r,C4,C3,E4,r,B3,G2,r
177.0,83.5893,73,2.0,r,r,r,r,r,r,r,r,r,r,C4,C3,D4,r,A3,F2,C2
177.5,83.7497,73,2.5,r,r,r,r,r,r,r,r,r,r,C4,C3,D4,r,G#3,F2,C2
178.0,83.9102,74,1.0,r,r,r,r,r,r,r,r,r,r,C4,C3,E4,r,G3,G2,r
178.5,84.0706,74,1.5,r,r,r,r,r,r,r,r,r,r,C4,C3,E4,r,E3,G2,r
178.75,84.1508,74,1.75,r,r,r,r,r,r,r,r,r,r,C4,C3,E4,r,E3,G2,r
179.0,84.231,74,2.0,r,r,r,r,r,r,r,r,r,r,C4,C3,C4,r,F3,A2,C2
179.5,84.3914,74,2.5,r,r,r,r,r,r,r,r,r,r,C4,C3,C4,r,F#3,A2,C2
180.0,84.5519,75,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2,r
180.5,84.7123,75,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,G2,r
181.0,84.8727,75,2.0,r,r,r,r,r,r,r,r,r,r,C4,C3,C4,r,F3,A2,C2
181.5,85.0332,75,2.5,r,r,r,r,r,r,r,r,r,r,C4,C3,C4,r,F#3,A2,C2
182.0,85.1936,76,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,B-2,r
182.5,85.354,76,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B-2,r
183.0,85.5144,76,2.0,r,r,r,r,r,r,r,r,r,r,C4,C3,C4,r,F3,A2,C2
183.5,85.6749,76,2.5,r,r,r,r,r,r,r,r,r,r,C4,C3,C4,r,F#3,A2,C2
184.0,85.8353,77,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,B-2,r
185.0,86.1561,77,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,A2,C2
186.0,86.477,78,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,B-2,r
187.0,86.7979,78,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,r,r
188.0,87.1187,79,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#3,B2,r
188.5,87.2791,79,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
189.0,87.4396,79,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
189.5,87.6,79,2.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,E3,C3,r
190.0,87.7604,80,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#3,B2,r
190.5,87.9209,80,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
191.0,88.0813,80,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
191.5,88.2417,80,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,G3,E3,r
192.0,88.4021,81,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#3,B2,r
192.5,88.5626,81,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
193.0,88.723,81,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
193.5,88.8834,81,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,B3,D3,r
194.0,89.0439,82,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,A3,B2,r
194.5,89.2043,82,1.5,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,A3,A2,r
195.0,89.3647,82,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#3,B2,r
195.5,89.5251,82,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E-4,B3,F#3,B2,r
196.0,89.6856,83,1.0,B5,G5,r,r,B4,G4,E4,E4,r,r,r,r,E4,B3,G3,E2,r
196.5,89.846,83,1.5,B5,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r
197.0,90.0064,83,2.0,B5,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r
197.5,90.1668,83,2.5,C6,A5,r,r,C5,F#4,E-4,E-4,r,r,r,r,r,r,r,r,r
198.0,90.3273,84,1.0,B5,G5,r,r,B4,G4,E4,E4,r,r,r,r,r,r,r,r,r
198.5,90.4877,84,1.5,B5,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r
199.0,90.6481,84,2.0,B5,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r
199.5,90.8086,84,2.5,E6,C6,r,r,E5,A4,A3,A3,r,r,r,r,r,r,r,r,r
200.0,90.969,85,1.0,B5,G5,r,r,B4,G4,E4,E4,r,r,r,r,r,r,r,r,r
200.5,91.1294,85,1.5,B5,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r
201.0,91.2898,85,2.0,B5,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r
201.5,91.4503,85,2.5,D6,B5,r,r,D5,E4,G#3,G#3,r,r,r,r,r,r,r,r,r
202.0,91.6107,86,1.0,C6,A5,r,r,C5,E4,A3,A3,r,r,r,r,r,r,r,r,r
202.5,91.7711,86,1.5,A5,A5,r,r,E5,E4,C4,C4,r,r,r,r,r,r,r,r,r
203.0,91.9316,86,2.0,B5,B5,r,r,E-5,F#4,B3,B3,r,r,r,r,r,r,r,r,r
203.5,92.092,86,2.5,B5,G#5,r,r,E5,G#4,E4,E4,r,r,r,r,r,r,r,r,r
204.0,92.2524,87,1.0,C6,E5,r,r,C5,A4,A3,A3,r,r,r,r,C6,r,r,r,r
204.5,92.4128,87,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
205.0,92.5733,87,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,C5,r,r
205.5,92.7337,87,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,B4,r,r
206.0,92.8941,88,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,r,r
206.5,93.0545,88,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,r,r
207.0,93.215,88,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,r,r
207.5,93.3754,88,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,r,r
208.0,93.5358,89,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,C3,r
208.5,93.6963,89,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r,r
209.0,93.8567,89,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,B2,r
209.5,94.0171,89,2.5,r,r,r,r,r,r,r,r,r,r,r,r,D5,B4,r,r,r
210.0,94.1775,90,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,D4,A2,r
210.5,94.338,90,1.5,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
211.0,94.4984,90,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G5,B4,G3,G2,r
211.5,94.6588,90,2.5,C6,r,r,r,G5,E5,G2,G2,r,r,r,r,G4,r,r,r,r
212.0,94.8193,91,1.0,B5,r,r,r,F#5,D5,G3,G3,r,r,r,r,r,r,r,r,r
212.5,94.9797,91,1.5,A5,r,r,r,E5,C5,G3,G3,r,r,r,r,r,r,r,r,r
213.0,95.1401,91,2.0,G5,r,r,r,D5,B4,G3,G3,r,r,r,r,r,r,r,r,r
213.5,95.3005,91,2.5,E5,r,r,r,D5,B4,G3,G3,r,r,r,r,r,r,r,r,r
214.0,95.461,92,1.0,F#5,r,r,r,C#5,A4,A3,A3,r,r,r,r,r,r,r,r,r
214.5,95.6214,92,1.5,E5,r,r,r,C#5,A4,A3,A3,r,r,r,r,r,r,r,r,r
215.0,95.7818,92,2.0,F#5,r,r,r,A4,F#4,D3,D3,r,r,r,r,r,r,r,r,r
215.5,95.9422,92,2.5,D5,r,r,r,A4,F#4,D4,D4,r,r,r,r,D4,D4,F#3,D3,r
216.0,96.1027,93,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,A3,A2,r
216.5,96.2631,93,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,A3,A2,r
217.0,96.4235,93,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,F#3,D2,r
217.5,96.584,93,2.5,D5,r,r,r,D5,F#4,r,r,r,r,r,r,D4,A3,F#3,D3,r
218.0,96.7444,94,1.0,F#5,r,r,r,C#5,A4,A3,r,r,r,r,r,r,r,r,r,r
218.5,96.9048,94,1.5,E5,r,r,r,C#5,A4,A3,r,r,r,r,r,r,r,r,r,r
219.0,97.0652,94,2.0,G5,r,r,r,B4,G4,E3,r,r,r,r,r,r,r,r,r,r
219.5,97.2257,94,2.5,E5,r,r,r,B4,G4,E4,r,r,r,r,r,E4,B3,G3,E3,r
220.0,97.3861,95,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,A3,A2,r
220.5,97.5465,95,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,A3,A2,r
221.0,97.707,95,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,F#3,D2,r
221.5,97.8674,95,2.5,D5,r,r,r,D5,F#4,r,r,r,r,r,r,D4,A3,F#3,D3,r
222.0,98.0278,96,1.0,G5,r,r,r,D5,B4,B3,B3,r,r,r,r,r,r,r,r,r
222.5,98.1882,96,1.5,F#5,r,r,r,D5,B4,B3,B3,r,r,r,r,r,r,r,r,r
223.0,98.3487,96,2.0,A5,r,r,r,C#5,A4,F#3,F#3,r,r,r,r,r,r,r,r,r
223.5,98.5091,96,2.5,F#5,r,r,r,C#5,A4,F#4,F#4,r,r,r,r,F#4,F#4,F#3,F#2,r
224.0,98.6695,97,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A2,r
224.5,98.8299,97,1.5,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#4,F#3,F#2,r
225.0,98.9904,97,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,A3,B2,r
225.5,99.1508,97,2.5,G#5,r,r,r,G#4,G#4,F#3,F#3,r,r,r,r,r,r,r,r,r
226.0,99.3112,98,1.0,B5,r,r,r,B4,B4,B3,B3,r,r,r,r,r,r,r,r,r
226.5,99.4717,98,1.5,G#5,r,r,r,G#4,G#4,G#3,G#3,r,r,r,r,r,r,r,r,r
227.0,99.6321,98,2.0,C6,r,r,r,C5,C5,C4,C4,r,r,r,r,r,r,r,r,r
227.5,99.7925,98,2.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A2,r
228.0,99.9529,99,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C3,r
228.5,100.1134,99,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A2,r
229.0,100.2738,99,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,C#4,C#3,r
229.5,100.4342,99,2.5,B-5,r,r,r,B-4,B-4,B-3,B-3,r,r,r,r,r,r,r,r,r
230.0,100.5947,100,1.0,C#6,r,r,r,C#5,C#5,C#4,C#4,r,r,r,r,r,r,r,r,r
230.5,100.7551,100,1.5,B-5,r,r,r,B-4,B-4,B-3,B-3,r,r,r,r,r,r,r,r,r
231.0,100.9155,100,2.0,D6,r,r,r,D5,D5,D4,D4,r,r,r,r,r,r,r,r,r
231.5,101.0759,100,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
232.0,101.2364,101,1.0,r,r,B4,D4,r,r,B3,G3,r,r,D4,B3,D6,r,r,G2,r
232.5,101.3968,101,1.5,r,r,B4,D4,r,r,B3,G3,r,r,D4,B3,B5,r,r,G2,r
233.0,101.5572,101,2.0,r,r,B4,D4,r,r,B3,G3,r,r,D4,B3,D6,r,r,D3,r
233.5,101.7176,101,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,D3,r
234.0,101.8781,102,1.0,r,r,B4,D4,r,r,B3,G3,r,r,D4,B3,r,D5,r,G3,r
234.5,102.0385,102,1.5,r,r,B4,D4,r,r,B3,G3,r,r,D4,B3,r,B4,r,G3,r
235.0,102.1989,102,2.0,r,r,B4,D4,r,r,B3,G3,r,r,D4,B3,r,D5,r,B3,r
235.5,102.3594,102,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r
236.0,102.5198,103,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r
236.5,102.6802,103,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r
237.0,102.8406,103,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G2,r
237.5,103.0011,103,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,G2,r
238.0,103.1615,104,1.0,r,r,B4,D4,r,r,A3,F3,r,r,D4,B3,D6,r,r,F2,r
238.5,103.3219,104,1.5,r,r,B4,D4,r,r,A3,F3,r,r,D4,B3,B5,r,r,F2,r
239.0,103.4824,104,2.0,r,r,B4,D4,r,r,A3,F3,r,r,D4,B3,D6,r,r,D3,r
239.5,103.6428,104,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,r,D3,r
240.0,103.8032,105,1.0,r,r,B4,D4,r,r,A3,F3,r,r,D4,B3,r,D5,r,F3,r
240.5,103.9636,105,1.5,r,r,B4,D4,r,r,A3,F3,r,r,D4,B3,r,B4,r,F3,r
241.0,104.1241,105,2.0,r,r,B4,D4,r,r,A3,F3,r,r,D4,B3,r,D5,r,A3,r
241.5,104.2845,105,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,A3,r
242.0,104.4449,106,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r
242.5,104.6053,106,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r
243.0,104.7658,106,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,F2,r
243.5,104.9262,106,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,F2,r
244.0,105.0866,107,1.0,r,r,B4,D4,r,r,G#3,E3,r,r,r,r,D4,r,r,E2,r
244.5,105.3866,107,1.5,r,r,B4,D4,r,r,G#3,E3,r,r,r,r,r,r,r,B2,r
245.0,105.6866,107,2.0,r,r,B4,D4,r,r,G#3,E3,r,r,r,r,r,r,r,E3,r
245.5,105.9866,107,2.5,r,r,B4,D4,r,r,G#3,E3,r,r,r,r,r,r,r,G#3,r
246.0,106.2866,107,3.0,r,r,C5,C4,r,r,A3,A2,r,r,r,r,r,r,r,A3,r
246.5,106.5866,107,3.5,r,r,C5,C4,r,r,A3,A2,r,r,r,r,r,r,r,A2,r
247.0,106.8866,108,1.0,r,r,B4,F4,r,r,G#3,D3,r,r,r,r,r,r,r,D2,r
247.5,107.1866,108,1.5,r,r,B4,F4,r,r,G#3,D3,r,r,r,r,r,r,r,G#2,r
248.0,107.4866,108,2.0,r,r,B4,F4,r,r,G#3,D3,r,r,r,r,r,r,r,D3,r
248.5,107.7866,108,2.5,r,r,B4,F4,r,r,G#3,D3,r,r,r,r,r,r,r,G#3,r
249.0,108.0866,108,3.0,r,r,E5,E4,r,r,A3,C3,r,r,r,r,r,r,r,C3,r
249.5,108.3866,108,3.5,r,r,E5,A4,r,r,A3,C3,r,r,r,r,r,r,r,C2,r
250.0,108.6866,109,1.0,r,r,B4,G4,r,r,G3,D3,r,r,r,r,r,r,r,D2,r
